jp_date,story_jp,story_kr,part,kr_date,match
2021-02-04,プロローグ,프롤로그,1~2,2021-11-09,O
2021-02-04,対策委員会編 第1章,Vol.1 대책위원회 편 1장 대책위원회의 기묘한 하루,1~20,2021-11-09,O
2021-03-11,対策委員会編 第2章 前編,Vol.1 대책위원회 편 2장 잃은 것과 놓지 않은 것,전반 1~10,2021-11-16,O
2021-03-18,対策委員会編 第2章 後編,Vol.1 대책위원회 편 2장 잃은 것과 놓지 않은 것,후반 11~20,,O
2021-03-25,時計じかけの花のパヴァーヌ編 第1章,Vol.2 태엽감는 꽃의 파반느 편 1장 레트로의 로망,1~20,2021-12-14,O
2021-05-27,エデン条約編 第1章 前編,"Vol.3 에덴조약 편 1장 보충수업, 시작합니다!",전반 1~9,2022-01-25,O
2021-10-12,エデン条約編 第1章 後編,"Vol.3 에덴조약 편 1장 보충수업, 시작합니다!",후반 10~17,2022-04-05,O
2021-10-27,エデン条約編 第2章 前編,Vol.3 에덴조약 편 2장 증명 불가능한 문제,전반 1~9,2022-05-17,O
2021-11-09,デカグラマトン編 第1章 第1回(1話～2話),Ex. 데카그라마톤 편 1장 지혜의 뱀,이벤트 1차 1~3,2022-06-21,O
2021-11-17,エデン条約編 第2章 後編,Vol.3 에덴조약 편 2장 증명 불가능한 문제,후반 10~20,2022-05-31,O
2021-12-15,エデン条約編 第3章 前編,Vol.3 에덴조약 편 3장 우리들의 이야기를,전반 1~9,2022-07-26,O
2022-01-12,エデン条約編 第3章 後編,Vol.3 에덴조약 편 3장 우리들의 이야기를,후반 10~25,2022-08-23,O
2022-03-23,カルバノグの兎編 第1章 前編,"Vol.4 카르바노그의 토끼 편 1장 RABBIT 소대, 작전 개시!",전반 1~11,2022-11-08,O
2022-04-06,カルバノグの兎編 第1章 後編,"Vol.4 카르바노그의 토끼 편 1장 RABBIT 소대, 작전 개시!",후반 12~20,2022-11-15,O
2022-05-24,エデン条約編 第4章 前編,Vol.3 에덴조약 편 4장 잊혀진 신들을 위한 키리에,전반 1~10,2022-12-20,O
2022-06-08,エデン条約編 第4章 中編,Ex. 데카그라마톤 편 1장 지혜의 뱀,이벤트 2차 4~5,2022-12-27,O
2022-06-08,デカグラマトン編 第1章 第2回(3話～4話),Vol.3 에덴조약 편 4장 잊혀진 신들을 위한 키리에,중반 11~16,2023-01-03,O
2022-07-06,デカグラマトン編 第1章 第3回(5話～7話),Ex. 데카그라마톤 편 1장 지혜의 뱀,이벤트 3차 6~8,2023-02-14,O
2022-08-09,エデン条約編 第4章 後編,Vol.3 에덴조약 편 4장 잊혀진 신들을 위한 키리에,후반 17~27,2023-02-14,O
2022-11-16,デカグラマトン編 第1章 第4回(8話～12話),Ex. 데카그라마톤 편 1장 지혜의 뱀,이벤트 4차 9~13,2023-05-16,O
2022-11-23,時計じかけの花のパヴァーヌ編 第2章 前編,Vol.2 태엽감는 꽃의 파반느 편 2장 우정과 용기와 빛의 로망,전반 1~10,2023-05-23,O
2022-12-07,時計じかけの花のパヴァーヌ編 第2章 後編,Vol.2 태엽감는 꽃의 파반느 편 2장 우정과 용기와 빛의 로망,후반 11~25,2023-06-06,O
2023-01-22,最終編 第1章,Final. 그리고 모든 기적이 시작되는 곳 편 1장 샬레 탈환작전,1~15,2023-07-21,O
2023-01-24,最終編 第2章 1話〜,Final. 그리고 모든 기적이 시작되는 곳 편 2장 거짓된 성소 공략전,1~20,2023-07-25,O
2023-02-05,最終編 第2章 21話,Final. 그리고 모든 기적이 시작되는 곳 편 2장 거짓된 성소 공략전,21,2023-08-05,O
2023-02-22,最終編 第3章,Final. 그리고 모든 기적이 시작되는 곳 편 3장 아트라하시스의 방주 점령전,1~15,2023-08-22,O
2023-03-08,最終編 第4章 1話〜,Final. 그리고 모든 기적이 시작되는 곳 편 4장 프레나파테스 결전,본편 1~6,2023-09-05,O
2023-03-08,最終編 第4章 6話後解放イベント,,,,JP만
2023-03-11,最終編 第4章 7話〜,Final. 그리고 모든 기적이 시작되는 곳 편 4장 프레나파테스 결전,본편 7~10,2023-09-09,O
2023-03-29,最終編 第4章 11話,Final. 그리고 모든 기적이 시작되는 곳 편 4장 프레나파테스 결전,후일담 1 11,2023-10-03,O
2023-04-22,最終編 第4章 12話,Final. 그리고 모든 기적이 시작되는 곳 편 4장 프레나파테스 결전,후일담 2 12,2023-10-28,O
2023-06-07,カルバノグの兎編 第2章 前編,Vol.4 카르바노그의 토끼 편 2장 We Were RABBITs!,전반 1~10,2023-12-12,O
2023-06-14,カルバノグの兎編 第2章 後編,Vol.4 카르바노그의 토끼 편 2장 We Were RABBITs!,후반 11~24,2023-12-19,O
2023-11-08,百花繚乱編 第1章 前編,Vol.5 백화요란 편 1장 피어나길 바라는 꽃망울처럼,전반 1~13,2024-05-14,O
2023-11-22,百花繚乱編 第1章 後編,Vol.5 백화요란 편 1장 피어나길 바라는 꽃망울처럼,후반 14~26,2024-05-28,O
2023-12-06,デカグラマトン編 第1章 第5回(13話～16話),Ex. 데카그라마톤 편 1장 지혜의 뱀,이벤트 5차 14~17,2024-06-11,O
2024-02-07,対策委員会編 第3章 プロローグ,Vol.1 대책위원회 편 3장 그 꿈이 남기고 간 흔적들,프롤로그 1,2024-08-06,O
2024-04-11,対策委員会編 第3章 Part1,Vol.1 대책위원회 편 3장 그 꿈이 남기고 간 흔적들,Part 1 2~7,2024-10-08,O
2024-06-05,対策委員会編 第3章 Part2,Vol.1 대책위원회 편 3장 그 꿈이 남기고 간 흔적들,Part 2 8~16,2024-12-03,O
2024-06-19,対策委員会編 第3章 Part3,Vol.1 대책위원회 편 3장 그 꿈이 남기고 간 흔적들,Part 3 17~27,2024-12-17,O
2024-07-17,対策委員会編 第3章 Part4,Vol.1 대책위원회 편 3장 그 꿈이 남기고 간 흔적들,Part 4 28~34,2025-01-16,O
2024-07-22,対策委員会編 第3章 Part5,Vol.1 대책위원회 편 3장 그 꿈이 남기고 간 흔적들,Part 5 35~43,2025-01-23,O
2024-10-23,デカグラマトン編 第1章 メインストーリーへ編入,,,,JP만
2024-11-06,デカグラマトン編 第2章 Part1,Ex. 데카그라마톤 편 2장 불타는 검,Part 1 1~12,2025-04-29,O
2025-02-03,デカグラマトン編 第2章 Part2,Ex. 데카그라마톤 편 2장 불타는 검,Part 2 13~22,2025-07-22,O
2025-05-07,デカグラマトン編 第2章 Part3,Ex. 데카그라마톤 편 2장 불타는 검,Part 3 23~31,2025-10-07,O
2025-05-21,百花繚乱編 第2章 前編,Vol.5 백화요란 편 2장 홀로 꽃을 피우려는 너에게,Part 1 1~15,2025-10-21,O
2025-05-28,百花繚乱編 第2章 後編,Vol.5 백화요란 편 2장 홀로 꽃을 피우려는 너에게,Part 2 16~28,2025-10-28,O
2025-09-17,過ぎ去りし刻のオラトリオ編 第1章,Vol.6 흘러간 시간들의 오라토리오 편 1장 경계 너머의 풍경,1~12,2026-02-03,O
2025-10-08,過ぎ去りし刻のオラトリオ編 第2章,Vol.6 흘러간 시간들의 오라토리오 편 2장 어제에게 고하는 이별,1~11,2026-02-24,O
2025-11-12,過ぎ去りし刻のオラトリオ編 第3章,Vol.6 흘러간 시간들의 오라토리오 편 3장 사라지지 않는 것들을 위한 에클레시아,1~10,2026-03-31,O
2026-01-18,デカグラマトン編 第3章 Part1,Ex. 데카그라마톤 편 3장 합일의 하늘,Part 1 1~9,2026-05-19,O
2026-01-20,デカグラマトン編 第3章 Part2(～10話),Ex. 데카그라마톤 편 3장 합일의 하늘,Part 2 10,2026-05-26,O
2026-01-20,デカグラマトン編 第3章 10話後イベント(1話～23話),,,,JP만
2026-01-29,デカグラマトン編 第3章 上記後イベント(24話～26話),,,,JP만
2026-02-11,デカグラマトン編 第3章 Part3,Ex. 데카그라마톤 편 3장 합일의 하늘,Part 3 11,,O
2026-02-12,デカグラマトン編 第3章 Part4(～21話),Ex. 데카그라마톤 편 3장 합일의 하늘,Part 4 12~21,,O
2026-02-12,デカグラマトン編 第3章 21話後イベント(27話～29話),,,,JP만
2026-02-16,デカグラマトン編 第3章 Part4(22話～26話),Ex. 데카그라마톤 편 3장 합일의 하늘,Part 4 22~26,,O
2026-04-21,第2部 プロローグ,프롤로그,1~4,,O
2026-04-21,連邦生徒会編 第1章,Vol.0 총학생회 편 1장 살구꽃이 피는 어느 봄날에,1~10,,O
2026-04-21,ロア追跡編 第1章,Ex. 로어추적 편 1장 정오의 아지랑이,1~11,,O
2026-05-27,ロア追跡編 第2章,Ex. 로어추적 편 2장 드럼통 속에 있는 것,1~11,,O
